,sms,label,cleaned
3905,"Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
",1,account xxxxxxxxx show unredeem point claim call identifi code xxxxx expir
4947,"I'm already back home so no probably not
",0,alreadi back home probabl
2104,"Its a site to simulate the test. It just gives you very tough questions to test your readiness.
",0,site simul test give veri tough question test readi
3189,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
",1,thi nd time tri contact u u pound prize claim easi call onli p per min bt nation r
58,"Tell where you reached
",0,tell reach
3569,"Sent me de webadres for geting salary slip
",0,sent de webadr gete salari slip
417,"Alright i have a new goal now
",0,alright new goal
4134,"FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
",1,freemsg today day readi horni live town love sex fun game netcollex ltd p per msg repli stop end
1343,"Yeah I'll try to scrounge something up
",0,yeah tri scroung someth
102,"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",0,still look car buy gone drive test yet
5246,"thanks for the temales it was wonderful. Thank. Have a great week.
",0,thank temal wa wonder thank great week
2728,"Whatsup there. Dont u want to sleep
",0,whatsup dont u want sleep
4207,"Get the door, I'm here
",0,get door
661,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '
",0,sea lay rock rock envelop envelop paper paper word
4513,"Now project pa. After that only i can come.
",0,project pa onli come
1316,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)
",0,whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say ju walk wid littl amp promi bring back ur smile
977,"Ok i shall talk to him
",0,ok shall talk
1692,"I don't know but I'm raping dudes at poker
",0,know rape dude poker
5244,"Hmm thinking lor...
",0,hmm think lor
3789,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
",1,want funk ur fone weekli new tone repli tone u thi text www rington co uk origin n best tone gbp network oper rate appli
2267,"<Forwarded from 88877>FREE entry into our Â£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
",1,forward free entri weekli comp send word enter c www textcomp com
3808,"Pls dont restrict her from eating anythin she likes for the next two days.
",0,pl dont restrict eat anythin like next two day
3024,"You are a very very very very bad girl. Or lady.
",0,veri veri veri veri bad girl ladi
957,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical
",0,love decis feel could decid love life would much simpler less magic
